mRNA,siRNA,Efficacy
mrna - NM_012864,mrna - NM_012864_86,0.763
mrna - NM_012864,mrna - NM_012864_87,0.762
mrna - NM_012864,mrna - NM_012864_88,0.762
mrna - NM_012864,mrna - NM_012864_89,0.761
mrna - NM_012864,mrna - NM_012864_90,0.758
mrna - NM_012864,mrna - NM_012864_91,0.758
mrna - NM_012864,mrna - NM_012864_92,0.754
mrna - NM_012864,mrna - NM_012864_93,0.754
mrna - NM_012864,mrna - NM_012864_94,0.754
mrna - NM_012864,mrna - NM_012864_95,0.753
mrna - NM_012864,mrna - NM_012864_96,0.753
mrna - NM_012864,mrna - NM_012864_97,0.749
mrna - NM_012864,mrna - NM_012864_98,0.749
mrna - NM_012864,mrna - NM_012864_99,0.748
mrna - NM_012864,mrna - NM_012864_100,0.747
mrna - NM_012864,mrna - NM_012864_101,0.745
mrna - NM_012864,mrna - NM_012864_102,0.741
mrna - NM_012864,mrna - NM_012864_103,0.741
mrna - NM_012864,mrna - NM_012864_104,0.604
mrna - NM_012864,mrna - NM_012864_105,0.603
mrna - NM_012864,mrna - NM_012864_106,0.603
mrna - NM_012864,mrna - NM_012864_107,0.602
mrna - NM_012864,mrna - NM_012864_108,0.602
mrna - NM_012864,mrna - NM_012864_109,0.6
mrna - NM_012864,mrna - NM_012864_110,0.6
mrna - NM_012864,mrna - NM_012864_111,0.6
mrna - NM_012864,mrna - NM_012864_112,0.599
mrna - NM_012864,mrna - NM_012864_113,0.599
mrna - NM_012864,mrna - NM_012864_114,0.597
mrna - NM_012864,mrna - NM_012864_115,0.597
mrna - NM_012864,mrna - NM_012864_116,0.597
mrna - NM_012864,mrna - NM_012864_117,0.595
mrna - NM_012864,mrna - NM_012864_118,0.594
mrna - NM_012864,mrna - NM_012864_119,0.554
mrna - NM_012864,mrna - NM_012864_120,0.553
mrna - NM_012864,mrna - NM_012864_121,0.548
mrna - NM_012864,mrna - NM_012864_122,0.545
mrna - NM_012864,mrna - NM_012864_123,0.544
mrna - NM_012864,mrna - NM_012864_124,0.544
mrna - NM_012864,mrna - NM_012864_125,0.544
mrna - NM_012864,mrna - NM_012864_126,0.544
mrna - NM_012864,mrna - NM_012864_127,0.543
mrna - NM_012864,mrna - NM_012864_128,0.543
mrna - NM_012864,mrna - NM_012864_129,0.538
mrna - NM_012864,mrna - NM_012864_130,0.534
mrna - NM_012864,mrna - NM_012864_131,0.532
mrna - NM_012864,mrna - NM_012864_132,0.531
mrna - NM_012864,mrna - NM_012864_133,0.53
mrna - NM_012864,mrna - NM_012864_134,0.521
mrna - NM_012864,mrna - NM_012864_135,0.519
mrna - NM_012864,mrna - NM_012864_136,0.517
mrna - NM_012864,mrna - NM_012864_137,0.516
mrna - NM_012864,mrna - NM_012864_138,0.516
mrna - NM_012864,mrna - NM_012864_139,0.514
mrna - NM_012864,mrna - NM_012864_140,0.514
mrna - NM_012864,mrna - NM_012864_141,0.513
mrna - NM_012864,mrna - NM_012864_142,0.307
mrna - NM_012864,mrna - NM_012864_143,0.272
mrna - NM_012864,mrna - NM_012864_144,0.27
mrna - NM_012864,mrna - NM_012864_145,0.269
mrna - NM_012864,mrna - NM_012864_146,0.253
mrna - NM_012864,mrna - NM_012864_147,0.247
mrna - NM_012864,mrna - NM_012864_148,0.211
mrna - NM_012864,mrna - NM_012864_149,0.201
mrna - NM_012864,mrna - NM_012864_150,0.19
mrna - NM_017346,mrna - NM_017346_1,1.032
mrna - NM_017346,mrna - NM_017346_2,1.026
mrna - NM_017346,mrna - NM_017346_3,1.013
mrna - NM_017346,mrna - NM_017346_4,0.998
mrna - NM_017346,mrna - NM_017346_5,0.982
mrna - NM_017346,mrna - NM_017346_6,0.965
mrna - NM_017346,mrna - NM_017346_7,0.963
mrna - NM_017346,mrna - NM_017346_8,0.962
mrna - NM_017346,mrna - NM_017346_9,0.958
mrna - NM_017346,mrna - NM_017346_10,0.956
mrna - NM_017346,mrna - NM_017346_11,0.954
mrna - NM_017346,mrna - NM_017346_12,0.951
mrna - NM_017346,mrna - NM_017346_13,0.95
mrna - NM_017346,mrna - NM_017346_14,0.948
mrna - NM_017346,mrna - NM_017346_15,0.947
mrna - NM_017346,mrna - NM_017346_16,0.715
mrna - NM_017346,mrna - NM_017346_17,0.715
mrna - NM_017346,mrna - NM_017346_18,0.715
mrna - NM_017346,mrna - NM_017346_19,0.714
mrna - NM_017346,mrna - NM_017346_20,0.713
mrna - NM_017346,mrna - NM_017346_21,0.713
mrna - NM_017346,mrna - NM_017346_22,0.713
mrna - NM_017346,mrna - NM_017346_23,0.713
mrna - NM_017346,mrna - NM_017346_24,0.713
mrna - NM_017346,mrna - NM_017346_25,0.712
mrna - NM_017346,mrna - NM_017346_26,0.712
mrna - NM_017346,mrna - NM_017346_27,0.712
mrna - NM_017346,mrna - NM_017346_28,0.712
mrna - NM_017346,mrna - NM_017346_29,0.712
mrna - NM_017346,mrna - NM_017346_30,0.712
mrna - NM_017346,mrna - NM_017346_31,0.609
mrna - NM_017346,mrna - NM_017346_32,0.609
mrna - NM_017346,mrna - NM_017346_33,0.608
mrna - NM_017346,mrna - NM_017346_34,0.608
mrna - NM_017346,mrna - NM_017346_35,0.608
mrna - NM_017346,mrna - NM_017346_36,0.608
mrna - NM_017346,mrna - NM_017346_37,0.608
mrna - NM_017346,mrna - NM_017346_38,0.608
mrna - NM_017346,mrna - NM_017346_39,0.307
mrna - NM_017346,mrna - NM_017346_40,0.307
mrna - NM_017346,mrna - NM_017346_41,0.298
mrna - NM_017346,mrna - NM_017346_42,0.297
mrna - NM_017346,mrna - NM_017346_43,0.282
mrna - NM_017346,mrna - NM_017346_44,0.281
mrna - NM_017346,mrna - NM_017346_45,0.257
mrna - NM_017346,mrna - NM_017346_46,0.233
mrna - NM_021988,mrna - NM_021988_1,1.074
mrna - NM_021988,mrna - NM_021988_2,0.996
mrna - NM_021988,mrna - NM_021988_3,0.989
mrna - NM_021988,mrna - NM_021988_4,0.973
mrna - NM_021988,mrna - NM_021988_5,0.972
mrna - NM_021988,mrna - NM_021988_6,0.972
mrna - NM_021988,mrna - NM_021988_7,0.969
mrna - NM_021988,mrna - NM_021988_8,0.967
mrna - NM_021988,mrna - NM_021988_9,0.964
mrna - NM_021988,mrna - NM_021988_10,0.963
mrna - NM_021988,mrna - NM_021988_11,0.962
mrna - NM_021988,mrna - NM_021988_12,0.962
mrna - NM_021988,mrna - NM_021988_13,0.96
mrna - NM_021988,mrna - NM_021988_14,0.958
mrna - NM_021988,mrna - NM_021988_15,0.95
mrna - NM_021988,mrna - NM_021988_16,0.945
mrna - NM_021988,mrna - NM_021988_17,0.841
mrna - NM_021988,mrna - NM_021988_18,0.841
mrna - NM_021988,mrna - NM_021988_19,0.841
mrna - NM_021988,mrna - NM_021988_20,0.84
mrna - NM_021988,mrna - NM_021988_21,0.84
mrna - NM_021988,mrna - NM_021988_22,0.838
mrna - NM_021988,mrna - NM_021988_23,0.836
mrna - NM_021988,mrna - NM_021988_24,0.836
mrna - NM_021988,mrna - NM_021988_25,0.835
mrna - NM_021988,mrna - NM_021988_26,0.835
mrna - NM_021988,mrna - NM_021988_27,0.835
mrna - NM_021988,mrna - NM_021988_28,0.835
mrna - NM_021988,mrna - NM_021988_29,0.834
mrna - NM_021988,mrna - NM_021988_30,0.833
mrna - NM_021988,mrna - NM_021988_31,0.744
mrna - NM_021988,mrna - NM_021988_32,0.743
mrna - NM_021988,mrna - NM_021988_33,0.743
mrna - NM_021988,mrna - NM_021988_34,0.743
mrna - NM_021988,mrna - NM_021988_35,0.741
mrna - NM_021988,mrna - NM_021988_36,0.741
mrna - NM_021988,mrna - NM_021988_37,0.74
mrna - NM_021988,mrna - NM_021988_38,0.74
mrna - NM_021988,mrna - NM_021988_39,0.739
mrna - NM_021988,mrna - NM_021988_40,0.738
mrna - NM_021988,mrna - NM_021988_41,0.738
mrna - NM_021988,mrna - NM_021988_42,0.737
mrna - NM_021988,mrna - NM_021988_43,0.737
mrna - NM_021988,mrna - NM_021988_44,0.737
mrna - NM_021988,mrna - NM_021988_45,0.736
mrna - NM_021988,mrna - NM_021988_46,0.736
mrna - NM_021988,mrna - NM_021988_47,0.655
mrna - NM_021988,mrna - NM_021988_48,0.654
mrna - NM_021988,mrna - NM_021988_49,0.652
mrna - NM_021988,mrna - NM_021988_50,0.65
mrna - NM_021988,mrna - NM_021988_51,0.65
mrna - NM_021988,mrna - NM_021988_52,0.649
mrna - NM_021988,mrna - NM_021988_53,0.648
mrna - NM_021988,mrna - NM_021988_54,0.647
mrna - NM_021988,mrna - NM_021988_55,0.645
mrna - NM_021988,mrna - NM_021988_56,0.642
mrna - NM_021988,mrna - NM_021988_57,0.641
mrna - NM_021988,mrna - NM_021988_58,0.641
mrna - NM_021988,mrna - NM_021988_59,0.64
mrna - NM_021988,mrna - NM_021988_60,0.477
mrna - NM_021988,mrna - NM_021988_61,0.47
mrna - NM_021988,mrna - NM_021988_62,0.468
mrna - NM_021988,mrna - NM_021988_63,0.467
mrna - NM_021988,mrna - NM_021988_64,0.467
mrna - NM_021988,mrna - NM_021988_65,0.465
mrna - NM_021988,mrna - NM_021988_66,0.465
mrna - NM_021988,mrna - NM_021988_67,0.44
mrna - NM_021988,mrna - NM_021988_68,0.433
mrna - NM_021988,mrna - NM_021988_69,0.415
mrna - NM_021988,mrna - NM_021988_70,0.415
mrna - NM_021988,mrna - NM_021988_71,0.411
mrna - NM_021988,mrna - NM_021988_72,0.409
mrna - NM_021988,mrna - NM_021988_73,0.372
mrna - NM_021988,mrna - NM_021988_74,0.35
mrna - NM_022005,mrna - NM_022005_1,1.042
mrna - NM_022005,mrna - NM_022005_2,1.002
mrna - NM_022005,mrna - NM_022005_3,0.993
mrna - NM_022005,mrna - NM_022005_4,0.978
mrna - NM_022005,mrna - NM_022005_5,0.97
mrna - NM_022005,mrna - NM_022005_6,0.968
mrna - NM_022005,mrna - NM_022005_7,0.96
mrna - NM_022005,mrna - NM_022005_8,0.939
mrna - NM_022005,mrna - NM_022005_9,0.935
mrna - NM_022005,mrna - NM_022005_10,0.907
mrna - NM_022005,mrna - NM_022005_11,0.9
mrna - NM_022005,mrna - NM_022005_12,0.898
mrna - NM_022005,mrna - NM_022005_13,0.897
mrna - NM_022005,mrna - NM_022005_14,0.897
mrna - NM_022005,mrna - NM_022005_15,0.896
mrna - NM_022005,mrna - NM_022005_16,0.744
mrna - NM_022005,mrna - NM_022005_17,0.743
mrna - NM_022005,mrna - NM_022005_18,0.742
mrna - NM_022005,mrna - NM_022005_19,0.742
mrna - NM_022005,mrna - NM_022005_20,0.741
mrna - NM_022005,mrna - NM_022005_21,0.74
mrna - NM_022005,mrna - NM_022005_22,0.74
mrna - NM_022005,mrna - NM_022005_23,0.74
mrna - NM_022005,mrna - NM_022005_24,0.74
mrna - NM_022005,mrna - NM_022005_25,0.739
mrna - NM_022005,mrna - NM_022005_26,0.739
mrna - NM_022005,mrna - NM_022005_27,0.738
mrna - NM_022005,mrna - NM_022005_28,0.738
mrna - NM_022005,mrna - NM_022005_29,0.738
mrna - NM_022005,mrna - NM_022005_30,0.738
mrna - NM_022005,mrna - NM_022005_31,0.667
mrna - NM_022005,mrna - NM_022005_32,0.666
mrna - NM_022005,mrna - NM_022005_33,0.666
mrna - NM_022005,mrna - NM_022005_34,0.666
mrna - NM_022005,mrna - NM_022005_35,0.665
mrna - NM_022005,mrna - NM_022005_36,0.665
mrna - NM_022005,mrna - NM_022005_37,0.665
mrna - NM_022005,mrna - NM_022005_38,0.664
mrna - NM_022005,mrna - NM_022005_39,0.663
mrna - NM_022005,mrna - NM_022005_40,0.662
mrna - NM_022005,mrna - NM_022005_41,0.662
mrna - NM_022005,mrna - NM_022005_42,0.662
mrna - NM_022005,mrna - NM_022005_43,0.661
mrna - NM_022005,mrna - NM_022005_44,0.661
mrna - NM_022005,mrna - NM_022005_45,0.66
mrna - NM_022005,mrna - NM_022005_46,0.66
mrna - NM_022005,mrna - NM_022005_47,0.584
mrna - NM_022005,mrna - NM_022005_48,0.584
mrna - NM_022005,mrna - NM_022005_49,0.584
mrna - NM_022005,mrna - NM_022005_50,0.583
mrna - NM_022005,mrna - NM_022005_51,0.583
mrna - NM_022005,mrna - NM_022005_52,0.583
mrna - NM_022005,mrna - NM_022005_53,0.582
mrna - NM_022005,mrna - NM_022005_54,0.582
mrna - NM_022005,mrna - NM_022005_55,0.582
mrna - NM_022005,mrna - NM_022005_56,0.581
mrna - NM_022005,mrna - NM_022005_57,0.58
mrna - NM_022005,mrna - NM_022005_58,0.351
mrna - NM_022005,mrna - NM_022005_59,0.349
mrna - NM_022005,mrna - NM_022005_60,0.332
mrna - NM_022005,mrna - NM_022005_61,0.408
mrna - NM_022005,mrna - NM_022005_62,0.407
mrna - NM_022005,mrna - NM_022005_63,0.403
mrna - NM_022005,mrna - NM_022005_64,0.399
mrna - NM_022005,mrna - NM_022005_65,0.396
mrna - NM_022005,mrna - NM_022005_66,0.396
mrna - NM_022005,mrna - NM_022005_67,0.389
mrna - NM_022005,mrna - NM_022005_68,0.378
mrna - NM_022005,mrna - NM_022005_69,0.366
mrna - NM_022005,mrna - NM_022005_70,0.357
mrna - NM_022005,mrna - NM_022005_71,0.355
mrna - NM_022005,mrna - NM_022005_72,0.352
mrna - NM_025237,mrna - NM_025237_1,0.983
mrna - NM_025237,mrna - NM_025237_2,0.945
mrna - NM_025237,mrna - NM_025237_3,0.941
mrna - NM_025237,mrna - NM_025237_4,0.936
mrna - NM_025237,mrna - NM_025237_5,0.935
mrna - NM_025237,mrna - NM_025237_6,0.93
mrna - NM_025237,mrna - NM_025237_7,0.929
mrna - NM_025237,mrna - NM_025237_8,0.921
mrna - NM_025237,mrna - NM_025237_9,0.913
mrna - NM_025237,mrna - NM_025237_10,0.905
mrna - NM_025237,mrna - NM_025237_11,0.901
mrna - NM_025237,mrna - NM_025237_12,0.901
mrna - NM_025237,mrna - NM_025237_13,0.884
mrna - NM_025237,mrna - NM_025237_14,0.877
mrna - NM_025237,mrna - NM_025237_15,0.877
mrna - NM_025237,mrna - NM_025237_16,0.711
mrna - NM_025237,mrna - NM_025237_17,0.711
mrna - NM_025237,mrna - NM_025237_18,0.709
mrna - NM_025237,mrna - NM_025237_19,0.709
mrna - NM_025237,mrna - NM_025237_20,0.707
mrna - NM_025237,mrna - NM_025237_21,0.706
mrna - NM_025237,mrna - NM_025237_22,0.705
mrna - NM_025237,mrna - NM_025237_23,0.704
mrna - NM_025237,mrna - NM_025237_24,0.703
mrna - NM_025237,mrna - NM_025237_25,0.703
mrna - NM_025237,mrna - NM_025237_26,0.7
mrna - NM_025237,mrna - NM_025237_27,0.698
mrna - NM_025237,mrna - NM_025237_28,0.697
mrna - NM_025237,mrna - NM_025237_29,0.696
mrna - NM_025237,mrna - NM_025237_30,0.609
mrna - NM_025237,mrna - NM_025237_31,0.609
mrna - NM_025237,mrna - NM_025237_32,0.609
mrna - NM_025237,mrna - NM_025237_33,0.608
mrna - NM_025237,mrna - NM_025237_34,0.607
mrna - NM_025237,mrna - NM_025237_35,0.606
mrna - NM_025237,mrna - NM_025237_36,0.606
mrna - NM_025237,mrna - NM_025237_37,0.603
mrna - NM_025237,mrna - NM_025237_38,0.603
mrna - NM_025237,mrna - NM_025237_39,0.602
mrna - NM_025237,mrna - NM_025237_40,0.601
mrna - NM_025237,mrna - NM_025237_41,0.601
mrna - NM_025237,mrna - NM_025237_42,0.6
mrna - NM_025237,mrna - NM_025237_43,0.597
mrna - NM_025237,mrna - NM_025237_44,0.597
mrna - NM_025237,mrna - NM_025237_45,0.597
mrna - NM_025237,mrna - NM_025237_46,0.491
mrna - NM_025237,mrna - NM_025237_47,0.491
mrna - NM_025237,mrna - NM_025237_48,0.49
mrna - NM_025237,mrna - NM_025237_49,0.49
mrna - NM_025237,mrna - NM_025237_50,0.485
mrna - NM_025237,mrna - NM_025237_51,0.485
mrna - NM_025237,mrna - NM_025237_52,0.485
mrna - NM_025237,mrna - NM_025237_53,0.482
mrna - NM_025237,mrna - NM_025237_54,0.481
mrna - NM_025237,mrna - NM_025237_55,0.48
mrna - NM_025237,mrna - NM_025237_56,0.479
mrna - NM_025237,mrna - NM_025237_57,0.479
mrna - NM_025237,mrna - NM_025237_58,0.478
mrna - NM_025237,mrna - NM_025237_59,0.46
mrna - NM_025237,mrna - NM_025237_60,0.459
mrna - NM_025237,mrna - NM_025237_61,0.459
mrna - NM_025237,mrna - NM_025237_62,0.457
mrna - NM_025237,mrna - NM_025237_63,0.456
mrna - NM_025237,mrna - NM_025237_64,0.456
mrna - NM_025237,mrna - NM_025237_65,0.455
mrna - NM_025237,mrna - NM_025237_66,0.455
mrna - NM_025237,mrna - NM_025237_67,0.455
mrna - NM_025237,mrna - NM_025237_68,0.339
mrna - NM_025237,mrna - NM_025237_69,0.337
mrna - NM_025237,mrna - NM_025237_70,0.335
mrna - NM_025237,mrna - NM_025237_71,0.332
mrna - NM_025237,mrna - NM_025237_72,0.331
mrna - NM_025237,mrna - NM_025237_73,0.307
mrna - NM_025237,mrna - NM_025237_74,0.306
mrna - NM_025237,mrna - NM_025237_75,0.29
mrna - NM_031313,mrna - NM_031313_1,1.003
mrna - NM_031313,mrna - NM_031313_2,0.999
mrna - NM_031313,mrna - NM_031313_3,0.866
mrna - NM_031313,mrna - NM_031313_4,0.865
mrna - NM_031313,mrna - NM_031313_5,0.782
mrna - NM_031313,mrna - NM_031313_6,0.781
mrna - NM_031313,mrna - NM_031313_7,0.267
mrna - NM_053656,mrna - NM_053656_1,1.029
mrna - NM_053656,mrna - NM_053656_2,1.02
mrna - NM_053656,mrna - NM_053656_3,1.005
mrna - NM_053656,mrna - NM_053656_4,0.988
mrna - NM_053656,mrna - NM_053656_5,0.981
mrna - NM_053656,mrna - NM_053656_6,0.979
mrna - NM_053656,mrna - NM_053656_7,0.967
mrna - NM_053656,mrna - NM_053656_8,0.964
mrna - NM_053656,mrna - NM_053656_9,0.961
mrna - NM_053656,mrna - NM_053656_10,0.961
mrna - NM_053656,mrna - NM_053656_11,0.946
mrna - NM_053656,mrna - NM_053656_12,0.941
mrna - NM_053656,mrna - NM_053656_13,0.939
mrna - NM_053656,mrna - NM_053656_14,0.935
mrna - NM_053656,mrna - NM_053656_15,0.934
mrna - NM_053656,mrna - NM_053656_16,0.933
mrna - NM_053656,mrna - NM_053656_17,0.804
mrna - NM_053656,mrna - NM_053656_18,0.803
mrna - NM_053656,mrna - NM_053656_19,0.803
mrna - NM_053656,mrna - NM_053656_20,0.802
mrna - NM_053656,mrna - NM_053656_21,0.801
mrna - NM_053656,mrna - NM_053656_22,0.801
mrna - NM_053656,mrna - NM_053656_23,0.8
mrna - NM_053656,mrna - NM_053656_24,0.8
mrna - NM_053656,mrna - NM_053656_25,0.8
mrna - NM_053656,mrna - NM_053656_26,0.8
mrna - NM_053656,mrna - NM_053656_27,0.799
mrna - NM_053656,mrna - NM_053656_28,0.798
mrna - NM_053656,mrna - NM_053656_29,0.798
mrna - NM_053656,mrna - NM_053656_30,0.72
mrna - NM_053656,mrna - NM_053656_31,0.72
mrna - NM_053656,mrna - NM_053656_32,0.719
mrna - NM_053656,mrna - NM_053656_33,0.719
mrna - NM_053656,mrna - NM_053656_34,0.719
mrna - NM_053656,mrna - NM_053656_35,0.718
mrna - NM_053656,mrna - NM_053656_36,0.718
mrna - NM_053656,mrna - NM_053656_37,0.718
mrna - NM_053656,mrna - NM_053656_38,0.718
mrna - NM_053656,mrna - NM_053656_39,0.717
mrna - NM_053656,mrna - NM_053656_40,0.717
mrna - NM_053656,mrna - NM_053656_41,0.692
mrna - NM_053656,mrna - NM_053656_42,0.692
mrna - NM_053656,mrna - NM_053656_43,0.692
mrna - NM_053656,mrna - NM_053656_44,0.691
mrna - NM_053656,mrna - NM_053656_45,0.69
mrna - NM_053656,mrna - NM_053656_46,0.69
mrna - NM_053656,mrna - NM_053656_47,0.689
mrna - NM_053656,mrna - NM_053656_48,0.689
mrna - NM_053656,mrna - NM_053656_49,0.689
mrna - NM_053656,mrna - NM_053656_50,0.689
mrna - NM_053656,mrna - NM_053656_51,0.688
mrna - NM_053656,mrna - NM_053656_52,0.595
mrna - NM_053656,mrna - NM_053656_53,0.595
mrna - NM_053656,mrna - NM_053656_54,0.595
mrna - NM_053656,mrna - NM_053656_55,0.594
mrna - NM_053656,mrna - NM_053656_56,0.594
mrna - NM_053656,mrna - NM_053656_57,0.594
mrna - NM_053656,mrna - NM_053656_58,0.594
mrna - NM_053656,mrna - NM_053656_59,0.593
mrna - NM_053656,mrna - NM_053656_60,0.593
mrna - NM_053656,mrna - NM_053656_61,0.593
mrna - NM_053656,mrna - NM_053656_62,0.556
mrna - NM_053656,mrna - NM_053656_63,0.555
mrna - NM_053656,mrna - NM_053656_64,0.555
mrna - NM_053656,mrna - NM_053656_65,0.555
mrna - NM_053656,mrna - NM_053656_66,0.555
mrna - NM_053656,mrna - NM_053656_67,0.555
mrna - NM_053656,mrna - NM_053656_68,0.373
mrna - NM_053656,mrna - NM_053656_69,0.369
mrna - NM_053656,mrna - NM_053656_70,0.36
mrna - NM_053656,mrna - NM_053656_71,0.36
mrna - NM_053656,mrna - NM_053656_72,0.358
mrna - NM_053656,mrna - NM_053656_73,0.346
mrna - NM_053656,mrna - NM_053656_74,0.336
mrna - NM_053656,mrna - NM_053656_75,0.33
mrna - NM_053656,mrna - NM_053656_76,0.316
mrna - NM_053656,mrna - NM_053656_77,0.305
mrna - U92436,mrna - U92436_1,1.074
mrna - U92436,mrna - U92436_2,1.073
mrna - U92436,mrna - U92436_3,1.056
mrna - U92436,mrna - U92436_4,1.041
mrna - U92436,mrna - U92436_5,1.039
mrna - U92436,mrna - U92436_6,1.036
mrna - U92436,mrna - U92436_7,1.027
mrna - U92436,mrna - U92436_8,1.027
mrna - U92436,mrna - U92436_9,1.024
mrna - U92436,mrna - U92436_10,1.024
mrna - U92436,mrna - U92436_11,1.019
mrna - U92436,mrna - U92436_12,1.012
mrna - U92436,mrna - U92436_13,1.011
mrna - U92436,mrna - U92436_14,0.912
mrna - U92436,mrna - U92436_15,0.911
mrna - U92436,mrna - U92436_16,0.91
mrna - U92436,mrna - U92436_17,0.909
mrna - U92436,mrna - U92436_18,0.909
mrna - U92436,mrna - U92436_19,0.907
mrna - U92436,mrna - U92436_20,0.906
mrna - U92436,mrna - U92436_21,0.906
mrna - U92436,mrna - U92436_22,0.906
mrna - U92436,mrna - U92436_23,0.615
mrna - U92436,mrna - U92436_24,0.615
mrna - U92436,mrna - U92436_25,0.615
mrna - U92436,mrna - U92436_26,0.615
mrna - U92436,mrna - U92436_27,0.615
mrna - U92436,mrna - U92436_28,0.614
mrna - U92436,mrna - U92436_29,0.531
mrna - U92436,mrna - U92436_30,0.531
mrna - U92436,mrna - U92436_31,0.531
mrna - U92436,mrna - U92436_32,0.498
mrna - U92436,mrna - U92436_33,0.497
mrna - U92436,mrna - U92436_34,0.322
mrna - U92436,mrna - U92436_35,0.306
mrna - U92436,mrna - U92436_36,0.297
mrna - XM_214061,mrna - XM_214061_1,1.001
mrna - XM_214061,mrna - XM_214061_2,0.985
mrna - XM_214061,mrna - XM_214061_3,0.985
mrna - XM_214061,mrna - XM_214061_4,0.981
mrna - XM_214061,mrna - XM_214061_5,0.98
mrna - XM_214061,mrna - XM_214061_6,0.976
mrna - XM_214061,mrna - XM_214061_7,0.972
mrna - XM_214061,mrna - XM_214061_8,0.971
mrna - XM_214061,mrna - XM_214061_9,0.964
mrna - XM_214061,mrna - XM_214061_10,0.963
mrna - XM_214061,mrna - XM_214061_11,0.961
mrna - XM_214061,mrna - XM_214061_12,0.959
mrna - XM_214061,mrna - XM_214061_13,0.951
mrna - XM_214061,mrna - XM_214061_14,0.948
mrna - XM_214061,mrna - XM_214061_15,0.948
mrna - XM_214061,mrna - XM_214061_16,0.947
mrna - XM_214061,mrna - XM_214061_17,0.946
mrna - XM_214061,mrna - XM_214061_18,0.945
mrna - XM_214061,mrna - XM_214061_19,0.943
mrna - XM_214061,mrna - XM_214061_20,0.94
mrna - XM_214061,mrna - XM_214061_21,0.939
mrna - XM_214061,mrna - XM_214061_22,0.939
mrna - XM_214061,mrna - XM_214061_23,0.938
mrna - XM_214061,mrna - XM_214061_24,0.899
mrna - XM_214061,mrna - XM_214061_25,0.899
mrna - XM_214061,mrna - XM_214061_26,0.899
mrna - XM_214061,mrna - XM_214061_27,0.897
mrna - XM_214061,mrna - XM_214061_28,0.897
mrna - XM_214061,mrna - XM_214061_29,0.897
mrna - XM_214061,mrna - XM_214061_30,0.895
mrna - XM_214061,mrna - XM_214061_31,0.895
mrna - XM_214061,mrna - XM_214061_32,0.892
mrna - XM_214061,mrna - XM_214061_33,0.892
mrna - XM_214061,mrna - XM_214061_34,0.891
mrna - XM_214061,mrna - XM_214061_35,0.891
mrna - XM_214061,mrna - XM_214061_36,0.891
mrna - XM_214061,mrna - XM_214061_37,0.89
mrna - XM_214061,mrna - XM_214061_38,0.889
mrna - XM_214061,mrna - XM_214061_39,0.889
mrna - XM_214061,mrna - XM_214061_40,0.796
mrna - XM_214061,mrna - XM_214061_41,0.796
mrna - XM_214061,mrna - XM_214061_42,0.796
mrna - XM_214061,mrna - XM_214061_43,0.794
mrna - XM_214061,mrna - XM_214061_44,0.794
mrna - XM_214061,mrna - XM_214061_45,0.793
mrna - XM_214061,mrna - XM_214061_46,0.793
mrna - XM_214061,mrna - XM_214061_47,0.793
mrna - XM_214061,mrna - XM_214061_48,0.792
mrna - XM_214061,mrna - XM_214061_49,0.792
mrna - XM_214061,mrna - XM_214061_50,0.791
mrna - XM_214061,mrna - XM_214061_51,0.791
mrna - XM_214061,mrna - XM_214061_52,0.791
mrna - XM_214061,mrna - XM_214061_53,0.789
mrna - XM_214061,mrna - XM_214061_54,0.789
mrna - XM_214061,mrna - XM_214061_55,0.789
mrna - XM_214061,mrna - XM_214061_56,0.789
mrna - XM_214061,mrna - XM_214061_57,0.789
mrna - XM_214061,mrna - XM_214061_58,0.789
mrna - XM_214061,mrna - XM_214061_59,0.788
mrna - XM_214061,mrna - XM_214061_60,0.788
mrna - XM_214061,mrna - XM_214061_61,0.787
mrna - XM_214061,mrna - XM_214061_62,0.787
mrna - XM_214061,mrna - XM_214061_63,0.787
mrna - XM_214061,mrna - XM_214061_64,0.786
mrna - XM_214061,mrna - XM_214061_65,0.786
mrna - XM_214061,mrna - XM_214061_66,0.785
mrna - XM_214061,mrna - XM_214061_67,0.785
mrna - XM_214061,mrna - XM_214061_68,0.784
mrna - XM_214061,mrna - XM_214061_69,0.784
mrna - XM_214061,mrna - XM_214061_70,0.783
mrna - XM_214061,mrna - XM_214061_71,0.783
mrna - XM_214061,mrna - XM_214061_72,0.783
mrna - XM_214061,mrna - XM_214061_73,0.783
mrna - XM_214061,mrna - XM_214061_74,0.782
mrna - XM_214061,mrna - XM_214061_75,0.782
mrna - XM_214061,mrna - XM_214061_76,0.782
mrna - XM_214061,mrna - XM_214061_77,0.782
mrna - XM_214061,mrna - XM_214061_78,0.781
mrna - XM_214061,mrna - XM_214061_79,0.78
mrna - XM_214061,mrna - XM_214061_80,0.78
mrna - XM_214061,mrna - XM_214061_81,0.78
mrna - XM_214061,mrna - XM_214061_82,0.78
mrna - XM_214061,mrna - XM_214061_83,0.779
mrna - XM_214061,mrna - XM_214061_84,0.779
mrna - XM_214061,mrna - XM_214061_85,0.779
mrna - XM_214061,mrna - XM_214061_86,0.778
mrna - XM_214061,mrna - XM_214061_87,0.778
mrna - XM_214061,mrna - XM_214061_88,0.778
mrna - XM_214061,mrna - XM_214061_89,0.778
mrna - XM_214061,mrna - XM_214061_90,0.778
mrna - XM_214061,mrna - XM_214061_91,0.777
